TABLA 92.  INDICE DE PRECIOS AL CONSUMIDOR. SUBGRUPOS DEL GRUPO DE GASTO DE ALIMENTOS. 1995 - 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Años,   Ene,   Feb,  Mar,  Abr,  May,  Jun,  Jul, Ago,Sept, Oct,Nov,Dic
,,,,,,,,,,,,
CEREALES Y PRODUCTOS DE PANADERIA,,,,,,,,,,,,
2006,79.54736,79.676666,79.941925,80.256441,80.929297,81.403693,81.639526,82.242637,82.609406,82.59798,82.450686,83.347817
2007,84.576072,85.95232,87.007887,91.527211,94.75134,95.276475,94.990919,94.511487,94.227657,94.209772,94.458843,94.733591
2008,95.340669,96.788826,97.080476,98.216338,98.328467,98.264956,98.449448,98.625769,98.834384,99.316696,99.629387,100
2009,100.992037,101.146801,101.104514,101.367973,101.435553,101.235475,101.670343,102.038213,101.273173,99.111686,97.865236,97.330256
2010,96.668913,96.145584,95.873565,97.007513,96.999892,97.184328,96.598142,96.320478,95.845447,95.512425,94.926217,96.080836
2011,99.258857,99.110576,99.058994,98.320869,98.449667,97.840245,97.12046,97.164093,99.140372,100.147055,100.556173,101.463607
2012,102.401513,102.827381,102.228299,102.156873,102.715204,102.381872,102.22129,102.842666,102.888099,102.71811,102.59827,103.277442
2013,103.84,103.59,103.68,104.7,105.44,106.24,106.08,106.37,106.4,106.39,105.82,106.37
2014,106.58,106.71,106.89,106.77,108.41,109.73,110.35,111.12,111.45,110.88,111.04,110.51
2015,110.89,111.18,110.67,111.69,111.88,111.73,111.49,113.55,114.56,114.59,116.33,117.91
2016,119.31,119.93,119.5,120.72,124.1,126.99,130.44,131.45,132.2,131.5,132.3,133.22
2017,133.36,133.02,132.29,132.51,132.07,131.78,132.09,132.73,132.83,132.66,132.89,133.68
" LÁCTEOS, GRASAS Y HUEVOS",,,,,,,,,,,,
1995,54.365714175648414,58.659504937308185,59.464406297478675,60.351035700274366,60.84194546023204,61.04160945108045,61.379053202723135,61.53829042966629,61.97149427745522,62.15045996981674,62.989149117186585,63.641125490624475
1996,65.89182884462261,70.12738256632468,71.38873456917221,71.62711273241375,71.8291816390026,71.57975283243199,71.45345976581396,71.27191348255056,71.03195665597629,70.78726383940386,71.00827670598542,71.11878313927619
1997,31.92939821341156,33.492458925776226,34.583243012874036,34.81203480022553,34.80293910225743,34.663704956438025,34.55525624989526,34.86940766433203,35.28780977086474,35.65093802051437,36.19038287693027,36.673854207388636
1998,37.872184233273536,39.89382839899868,41.745297473844445,42.66745831938583,43.10520517423919,43.06535387613718,42.96254091735949,43.128233719808556,43.15280620037624,43.13050898117974,43.547345655697306,44.32034747152418
1999,47.073313,49.040085,49.539253,49.356205,48.827704,48.159164,46.611428,46.471192,46.67534,46.837012,47.614453,48.154176
2000,48.878802,51.024734,52.140669,52.283862,52.417492,52.633838,52.587038,52.650959,52.835349,52.967683,53.230841,53.534717
2001,53.851981,55.687832,56.639896,56.943048,57.266122,57.324552,57.467117,57.471681,57.963658,58.352364,58.539069,58.599243
2002,59.170272,61.170402,61.567219,61.856905,62.050831,62.288345,62.103146,61.950343,61.922984,62.538299,63.791549,64.1628
2003,65.019256,66.221087,66.488491,67.067769,67.200731,67.264389,67.35464,67.374353,67.69049,67.831563,67.912053,68.880992
2004,69.468757,70.150388,71.617926,72.180601,72.343913,72.585981,72.490317,72.550318,72.796796,72.895609,73.072498,73.431114
2005,73.964301,75.667499,76.928626,76.913049,76.996877,76.788908,76.377284,76.601028,76.781808,76.699717,76.716877,76.595509
2006,76.584276,76.982519,77.118292,76.986414,77.114654,77.044949,77.144239,77.221847,77.541608,77.917849,79.207091,79.604257
2007,79.541947,81.279504,82.8526,84.883912,85.162239,85.383353,85.477369,85.728606,86.449446,86.762803,88.003161,90.09387
2008,91.368462,94.712802,96.253208,96.794331,96.479573,96.665695,97.159235,97.755908,98.43209,99.310418,99.955744,100
2009,100.099418,100.775332,100.816191,101.403193,101.381849,101.241206,100.898294,101.012985,100.794879,100.465494,100.294392,100.753699
2010,101.259104,102.071055,102.066474,102.247922,101.900548,101.629432,101.46982,101.50338,101.323729,100.812033,100.697563,101.475382
2011,101.997777,102.771335,102.978139,103.02422,103.632404,103.578895,103.690694,104.224424,104.288121,105.611647,106.121049,107.232182
2012,108.209602,108.133159,108.116673,108.884887,108.896434,107.842106,107.40438,107.559609,107.627619,107.978824,107.714014,107.796877
2013,107.64,108.36,108.12,108.84,108.73,108.3,107.98,108.36,108.77,108.58,108.44,108.42
2014,108.72,109.07,109.41,110.03,110.79,110.62,110.67,111.02,111.21,111.48,112.34,112.81
2015,112.66,112.5,112.38,112.98,113.59,113.42,113.4,114.05,115.47,116.95,119.11,121.15
2016,122.93,124.61,125.62,126.89,128.4,128.4,128.18,128.57,128.64,128.54,128.99,130.72
2017,131.99,132.62,132.43,132.33,132.24,131.58,131.23,131.65,131.09,130.65,130.81,130.95
ALIMENTOS VARIOS,,,,,,,,,,,,
1995,51.357395518910906,51.2724911061637,51.751254353729294,53.292752058578294,54.08271413493748,54.32505062329722,54.58388995284701,54.93926925231245,55.525435845382674,56.116830158547295,57.44349805774106,58.7066474178394
